iter	Passed	Remaining
0	144	144574
1	145	72517
2	145	48486
3	146	36464
4	147	29255
5	147	24451
6	148	21018
7	148	18452
8	149	16451
9	149	14847
10	150	13534
11	151	12440
12	151	11514
13	152	10721
14	152	10034
15	153	9432
16	153	8901
17	154	8433
18	155	8011
19	155	7631
20	156	7295
21	157	6984
22	157	6697
23	158	6435
24	158	6193
25	159	5969
26	159	5762
27	160	5576
28	161	5398
29	161	5231
30	162	5075
31	162	4928
32	163	4790
33	164	4660
34	164	4538
35	165	4422
36	165	4313
37	166	4211
38	166	4114
39	167	4020
40	168	3931
41	168	3847
42	169	3766
43	170	3701
44	170	3628
45	171	3557
46	172	3490
47	172	3427
48	173	3365
49	173	3305
50	174	3248
51	175	3192
52	175	3139
53	176	3087
54	176	3037
55	177	2989
56	177	2943
57	178	2900
58	179	2857
59	179	2815
60	180	2774
61	180	2735
62	181	2697
63	181	2660
64	182	2624
65	183	2590
66	183	2561
67	184	2533
68	185	2503
69	186	2473
70	186	2442
71	187	2413
72	187	2384
73	188	2356
74	188	2329
75	189	2303
76	190	2277
77	190	2253
78	191	2229
79	191	2205
80	192	2182
81	192	2159
82	193	2134
83	193	2113
84	194	2092
85	194	2071
86	195	2051
87	196	2031
88	196	2013
89	197	1994
90	198	1978
91	198	1960
92	199	1943
93	199	1925
94	200	1908
95	200	1891
96	201	1875
97	201	1858
98	202	1843
99	203	1829
100	203	1814
101	204	1799
102	204	1784
103	205	1770
104	206	1756
105	206	1742
106	207	1729
107	207	1715
108	208	1702
109	208	1690
110	209	1678
111	210	1665
112	210	1653
113	211	1641
114	211	1630
115	212	1619
116	212	1607
117	213	1596
118	214	1584
119	214	1573
120	215	1563
121	215	1552
122	216	1542
123	216	1532
124	217	1521
125	217	1512
126	218	1501
127	218	1491
128	219	1482
129	220	1473
130	220	1464
131	221	1455
132	221	1446
133	222	1437
134	223	1429
135	223	1420
136	224	1411
137	224	1403
138	225	1395
139	225	1387
140	226	1380
141	226	1371
142	227	1363
143	228	1356
144	228	1348
145	229	1341
146	229	1334
147	230	1326
148	230	1319
149	231	1312
150	232	1305
151	232	1298
152	233	1291
153	233	1284
154	234	1278
155	235	1271
156	235	1265
157	236	1258
158	236	1252
159	237	1246
160	237	1238
161	238	1232
162	238	1226
163	239	1220
164	239	1214
165	240	1210
166	241	1205
167	242	1201
168	243	1195
169	243	1189
170	244	1184
171	244	1178
172	245	1173
173	245	1167
174	246	1162
175	247	1157
176	247	1152
177	248	1146
178	248	1141
179	249	1136
180	250	1131
181	250	1126
182	251	1121
183	251	1116
184	252	1111
185	252	1106
186	253	1101
187	254	1097
188	254	1093
189	255	1088
190	255	1084
191	256	1079
192	257	1074
193	257	1070
194	258	1065
195	258	1061
196	259	1057
197	260	1053
198	260	1048
199	261	1044
200	261	1040
201	262	1036
202	262	1031
203	263	1027
204	263	1023
205	264	1019
206	265	1015
207	265	1011
208	266	1007
209	266	1003
210	267	999
211	267	995
212	268	992
213	269	988
214	269	984
215	270	981
216	270	977
217	271	973
218	272	970
219	272	966
220	273	962
221	273	959
222	274	955
223	274	952
224	275	948
225	275	945
226	276	941
227	277	938
228	277	935
229	278	931
230	278	928
231	279	925
232	280	921
233	280	918
234	281	915
235	281	911
236	282	908
237	282	905
238	283	902
239	284	899
240	284	896
241	285	893
242	285	890
243	286	887
244	286	884
245	287	881
246	288	878
247	288	875
248	289	872
249	289	869
250	290	866
251	291	863
252	291	860
253	292	857
254	292	854
255	293	852
256	293	849
257	294	846
258	294	843
259	295	840
260	296	838
261	296	836
262	297	833
263	298	830
264	298	828
265	299	825
266	299	822
267	300	820
268	300	817
269	301	814
270	301	812
271	302	809
272	303	807
273	303	804
274	304	802
275	304	799
276	305	797
277	305	794
278	306	792
279	307	789
280	307	787
281	308	784
282	308	782
283	309	779
284	309	777
285	310	775
286	311	773
287	311	770
288	312	768
289	312	765
290	313	763
291	313	761
292	314	759
293	315	757
294	315	755
295	316	752
296	317	750
297	317	748
298	318	746
299	318	743
300	319	741
301	319	739
302	320	737
303	321	735
304	321	733
305	322	730
306	322	728
307	323	726
308	323	724
309	324	722
310	325	720
311	325	718
312	326	716
313	326	713
314	327	712
315	328	709
316	328	708
317	329	706
318	329	704
319	330	702
320	330	699
321	331	697
322	332	695
323	332	693
324	333	691
325	333	690
326	334	688
327	334	686
328	335	684
329	336	682
330	336	680
331	337	678
332	337	676
333	338	674
334	339	673
335	340	672
336	340	670
337	341	668
338	341	666
339	342	664
340	342	662
341	343	660
342	344	659
343	344	657
344	345	655
345	345	653
346	346	651
347	346	650
348	347	648
349	348	646
350	348	644
351	349	642
352	349	640
353	350	639
354	350	637
355	351	635
356	351	633
357	352	632
358	353	631
359	353	629
360	354	627
361	355	625
362	355	624
363	356	622
364	356	620
365	357	619
366	357	617
367	358	615
368	359	614
369	359	612
370	360	610
371	360	609
372	361	607
373	362	605
374	362	604
375	363	602
376	363	600
377	364	599
378	364	597
379	365	596
380	366	594
381	366	593
382	367	592
383	368	590
384	368	589
385	369	587
386	370	586
387	370	584
388	371	583
389	372	582
390	372	580
391	373	579
392	374	577
393	374	576
394	375	574
395	375	573
396	376	571
397	377	570
398	377	569
399	378	567
400	379	566
401	380	565
402	380	563
403	381	562
404	382	561
405	382	559
406	383	558
407	383	557
408	384	555
409	385	554
410	385	552
411	386	551
412	386	549
413	387	548
414	387	546
415	388	545
416	388	543
417	389	542
418	390	540
419	390	539
420	391	538
421	391	536
422	392	535
423	392	533
424	393	532
425	394	530
426	394	529
427	395	528
428	395	526
429	396	525
430	397	524
431	397	522
432	398	521
433	398	519
434	399	518
435	399	517
436	400	515
437	400	514
438	401	513
439	402	511
440	402	510
441	403	509
442	403	507
443	404	506
444	404	505
445	405	503
446	406	502
447	406	501
448	407	499
449	407	498
450	408	497
451	408	495
452	409	494
453	410	493
454	411	492
455	411	491
456	412	489
457	413	488
458	413	487
459	414	486
460	415	485
461	416	484
462	416	483
463	417	481
464	417	480
465	418	479
466	418	478
467	419	476
468	420	475
469	420	474
470	421	473
471	421	471
472	422	470
473	422	469
474	423	468
475	424	467
476	424	465
477	425	464
478	425	463
479	426	462
480	427	460
481	427	459
482	428	458
483	428	457
484	429	456
485	430	454
486	430	453
487	431	452
488	431	451
489	432	449
490	432	448
491	433	447
492	434	446
493	434	445
494	435	444
495	435	442
496	436	441
497	436	440
498	437	439
499	438	438
500	438	436
501	439	435
502	440	434
503	440	433
504	441	432
505	441	431
506	442	430
507	442	429
508	443	427
509	444	426
510	444	425
511	445	424
512	446	423
513	446	422
514	447	421
515	447	419
516	448	418
517	448	417
518	449	416
519	449	415
520	450	414
521	451	413
522	451	412
523	452	411
524	453	409
525	453	408
526	454	407
527	454	406
528	455	405
529	455	404
530	456	403
531	457	402
532	457	400
533	458	400
534	458	398
535	459	397
536	460	396
537	460	395
538	461	394
539	461	393
540	462	392
541	462	391
542	463	390
543	464	389
544	464	387
545	465	387
546	466	386
547	466	385
548	467	384
549	468	383
550	468	381
551	469	380
552	469	379
553	470	378
554	471	377
555	471	376
556	472	375
557	472	374
558	473	373
559	473	372
560	474	371
561	474	370
562	475	369
563	476	368
564	476	367
565	477	366
566	477	364
567	478	363
568	479	362
569	479	361
570	480	360
571	480	359
572	481	358
573	482	357
574	482	356
575	483	355
576	483	354
577	484	353
578	485	352
579	485	351
580	486	350
581	486	349
582	487	348
583	488	347
584	488	346
585	489	345
586	489	344
587	490	343
588	490	342
589	491	341
590	491	340
591	492	339
592	493	338
593	493	337
594	494	336
595	495	335
596	495	334
597	496	333
598	497	332
599	497	331
600	498	330
601	498	329
602	499	328
603	499	327
604	500	326
605	500	325
606	501	324
607	502	323
608	502	322
609	503	321
610	503	320
611	504	319
612	505	318
613	505	317
614	506	316
615	506	315
616	507	314
617	508	314
618	508	313
619	509	312
620	510	311
621	510	310
622	511	309
623	511	308
624	516	310
625	518	309
626	521	310
627	522	309
628	523	309
629	525	308
630	526	307
631	527	307
632	528	306
633	529	305
634	530	305
635	531	304
636	533	303
637	534	303
638	535	302
639	536	301
640	537	300
641	538	300
642	539	299
643	541	299
644	542	298
645	543	297
646	543	296
647	545	296
648	546	295
649	547	294
650	548	293
651	548	292
652	549	292
653	550	291
654	551	290
655	554	290
656	555	289
657	556	289
658	557	288
659	559	288
660	561	288
661	565	288
662	566	288
663	569	288
664	570	287
665	572	286
666	574	286
667	574	285
668	575	284
669	576	283
670	576	282
671	595	290
672	596	289
673	598	289
674	599	288
675	599	287
676	600	286
677	600	285
678	601	284
679	602	283
680	602	282
681	603	281
682	603	280
683	604	279
684	605	278
685	606	277
686	607	276
687	607	275
688	608	274
689	608	273
690	609	272
691	610	271
692	611	270
693	612	269
694	612	268
695	613	267
696	613	266
697	614	265
698	614	264
699	615	263
700	616	262
701	617	262
702	618	261
703	618	260
704	619	259
705	620	258
706	620	257
707	621	256
708	621	255
709	622	254
710	623	253
711	624	252
712	624	251
713	625	250
714	626	249
715	626	248
716	627	247
717	627	246
718	629	245
719	630	245
720	630	244
721	631	243
722	631	242
723	632	241
724	632	240
725	633	239
726	634	238
727	634	237
728	636	236
729	636	235
730	637	234
731	637	233
732	638	232
733	639	231
734	639	230
735	640	229
736	641	228
737	642	228
738	642	227
739	643	226
740	643	225
741	644	224
742	645	223
743	645	222
744	646	221
745	647	220
746	648	219
747	649	218
748	649	217
749	650	216
750	650	215
751	651	214
752	652	213
753	652	212
754	654	212
755	654	211
756	655	210
757	655	209
758	656	208
759	657	207
760	657	206
761	658	205
762	659	204
763	660	204
764	661	203
